song,Days_on_chart,Average_rank,Best_rank,Rank_volatility
"""Slut!"" (Taylor's Version) (From The Vault)",26,15.5,3,12.130127781684742
(Don't Fear) The Reaper,1,50.0,50,
(There's No Place Like) Home for the Holidays - 1959 Version,2,45.0,45,0.0
16 CARRIAGES,10,26.0,16,10.63537075569588
2 hands,7,33.57142857142857,8,12.286267983093195
28,100,27.57,10,12.255079342744775
3001,1,32.0,32,
360,43,34.04651162790697,19,9.596510993888035
3D (feat. Jack Harlow),12,26.333333333333332,9,18.430870020076906
500lbs,186,24.827956989247312,12,10.007698286456016
505,17,43.76470588235294,36,3.7504901640436588
57,1,47.0,47,
7 Minute Drill,7,16.571428571428573,3,11.674147261608203
7969 Santa,7,15.0,9,4.864839839775475
8am in Charlotte,7,14.714285714285714,13,1.7043362064926935
A Bar Song (Tipsy),226,10.765486725663717,1,8.68218374897318
A Holly Jolly Christmas,37,13.64864864864865,7,9.589392913863552
A Night To Remember,1,32.0,32,
ACHO PR,2,28.0,28,0.0
ADIVINO,3,40.666666666666664,36,4.041451884327381
ALL RED,20,18.3,1,10.54863423437017
ALLIIGATOR TEARS,4,34.5,22,12.069244660154448
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),10,31.6,12,13.945927322659076
AMERIICAN REQUIEM,6,25.5,6,15.55313473226539
AMG,34,33.05882352941177,20,8.492210964102547
ANTHEM PART 3,1,40.0,40,
APT.,39,9.051282051282051,1,5.296218700508574
ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN),1,39.0,39,
Abracadabra (feat. Travis Scott),1,49.0,49,
Agora Hills,175,22.474285714285713,6,12.66718865055316
Ain't No Love,1,27.0,27,
Ain't No Love In Oklahoma (From Twisters: The Album),121,31.214876033057852,15,9.54917676344428
Ain't No Mountain High Enough,1,50.0,50,
Ain't No Sunshine,1,49.0,49,
All Alone,1,22.0,22,
All I Want for Christmas Is You,75,17.266666666666666,2,15.160700737328957
All My Life (feat. J. Cole),96,20.760416666666668,3,15.466598844754506
All Summer Long,2,28.0,28,0.0
All The Parties (feat. Chief Keef),7,26.428571428571427,17,7.828519290754432
All The Stars (with SZA),1,46.0,46,
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",6,43.0,27,8.07465169527454
All You Had To Do Was Stay (Taylor's Version),9,27.0,11,13.304134695650069
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",28,24.071428571428573,12,10.687232158839405
Amen (feat. Teezo Touchdown),7,17.714285714285715,7,8.440266301373152
American Girl,4,22.5,11,16.502525059315417
American Kids,3,43.666666666666664,43,0.5773502691896247
American Nights,8,25.25,13,11.448643088655903
American Pie,3,24.666666666666668,15,16.74315780649915
Amped,2,23.5,10,19.091883092036785
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",28,18.357142857142858,5,13.34503454809867
Another Late Night (feat. Lil Yachty),7,25.428571428571427,19,5.968169536721256
Anti-Hero,120,32.208333333333336,12,10.487203753958
Antichrist,4,39.5,18,14.364307617610164
Apple,47,31.70212765957447,15,8.799493299683503
Aquí Te Espero,1,37.0,37,
Are You Gone Already,1,18.0,18,
Area Codes,53,22.18867924528302,12,10.14710380008765
As Good As I Once Was,2,32.0,16,22.627416997969522
As It Was,92,33.71739130434783,23,6.787716907195761
Attention,14,18.785714285714285,3,12.128660091056869
Austin,64,32.234375,14,8.625805115401628
Austin (Boots Stop Workin'),134,31.970149253731343,19,7.524336753932427
Away From Home,6,30.5,23,6.024948132556827
Aye (feat. Travis Scott),3,10.666666666666666,4,7.023769168568493
BABY NUEVA,6,26.333333333333332,13,12.612163441165306
BACK TO ME,11,26.454545454545453,3,18.543805630795617
BAND4BAND (feat. Lil Baby),34,24.91176470588235,11,12.42521299630574
BANDIT,6,40.0,30,6.542170893518451
BATICANO,2,27.0,27,0.0
BBL Love - Interlude,5,38.8,24,12.296340919151518
BEG FORGIVENESS,4,29.25,21,7.675719293112969
BELLAKEO,27,42.407407407407405,30,6.558958989042621
BEST INTEREST,3,44.333333333333336,44,0.5773502691896263
BIRDS OF A FEATHER,191,5.2565445026178015,2,3.1224394304282823
BITTERSUITE,10,31.6,19,12.482877161224579
BLACKBIIRD,5,22.2,7,11.819475453673908
BLUE,21,29.428571428571427,17,9.20636425833471
BODYGUARD,10,23.2,8,12.227473619317733
BROTHER STONE (FEAT. KODAK BLACK),1,46.0,46,
BURN,26,22.115384615384617,6,9.803374615210512
BYE,9,38.111111111111114,22,9.360080721399314
Baby Please,1,46.0,46,
"Baby, It's Cold Outside",3,39.333333333333336,37,4.041451884327381
Back To December (Taylor's Version),11,20.818181818181817,2,19.077831018321668
Bad Blood (Taylor's Version),4,29.75,17,11.7011395456454
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),3,31.0,27,4.0
Bad Habit,34,44.11764705882353,35,3.4532786869639636
Bad One,1,35.0,35,
Bahamas Promises,7,20.142857142857142,10,6.283008075451637
Balloon (feat. Doechii),13,29.307692307692307,13,11.250071224845758
Bandit,50,36.96,9,9.743569307863664
Barbie Dangerous,1,19.0,19,
Barbie World (with Aqua) [From Barbie The Album],104,18.75,1,13.995665070896028
Beautiful Things,307,14.700325732899023,1,8.940330513883309
Bed Chem,96,16.260416666666668,6,10.625931331731193
Beep Beep,1,43.0,43,
Beer For My Horses,1,18.0,18,
Belong Together,3,48.0,47,1.0
Better Days (feat. John Mayer),7,29.714285714285715,24,7.134757312253998
Better Than Revenge (Taylor's Version),7,17.857142857142858,5,12.562226069034255
Big Dawgs,59,28.16949152542373,13,10.648219119958561
Big Difference,1,49.0,49,
Big Foot,2,16.5,10,9.192388155425117
Blank Space,21,37.142857142857146,12,10.160146230668701
